,State,Correlation,Lagged 6 Months,Lagged 12 Months,Lagged 18 Months,Lagged 24 Months,Lagged 30 Months,Lagged 36 Months
0,ND,0.39603758139506645,0.38597801163209233,0.4509288270256176,0.5400483476320028,0.5908927858196749,0.5435997280930538,0.4669051781870775
1,SD,0.2963431341381424,0.2674327762764654,0.29329968426096403,0.36731492326434007,0.42272172928554164,0.42183956967258324,0.3696600149712279
2,NE,0.14064934164231996,0.11304855114194391,0.15237280801806277,0.2505854180179177,0.35898466516363264,0.39530631215505974,0.3963051229815166
3,VT,0.19892078740182834,0.1546708461713741,0.1641055897506036,0.20257631663099654,0.21071101607154083,0.1523188635431748,0.07426048593271665
4,UT,0.27092159545326655,0.24118062859754352,0.26412129135935486,0.330125618444513,0.3864003123743886,0.3776543265222545,0.33599350109193754
